symbol,timestamp,open,high,low,close,volume,sector
PG,2024-01-08T16:00:00Z,208.7436,209.7414,208.0611,209.0578,1402939,STAPLES
AAPL,2024-01-09T16:00:00Z,47.4147,47.9931,47.3545,47.9324,1528829,TECH
MSFT,2024-01-09T16:00:00Z,66.5981,67.2234,66.3772,67.0011,888834,TECH
NVDA,2024-01-09T16:00:00Z,83.3365,84.1069,83.0751,83.8439,1119720,TECH
JPM,2024-01-09T16:00:00Z,102.2741,103.0786,100.0305,100.8235,1124091,FINANCIALS
GS,2024-01-09T16:00:00Z,115.0365,116.5506,114.3785,115.8878,1375459,FINANCIALS
BAC,2024-01-09T16:00:00Z,133.3765,134.6299,132.7988,134.0492,876976,FINANCIALS
XOM,2024-01-09T16:00:00Z,148.1712,150.1024,147.4692,149.3947,1510478,ENERGY
CVX,2024-01-09T16:00:00Z,163.85,164.3925,160.6976,161.2314,1123541,ENERGY
KO,2024-01-09T16:00:00Z,179.6565,181.0113,179.4004,180.7537,1127850,STAPLES
PG,2024-01-09T16:00:00Z,209.1662,211.4153,208.958,211.205,1398254,STAPLES
AAPL,2024-01-10T16:00:00Z,47.8949,48.6762,47.8257,48.606,1403663,TECH
MSFT,2024-01-10T16:00:00Z,67.0298,67.8076,66.9344,67.7112,1208273,TECH
NVDA,2024-01-10T16:00:00Z,83.6306,84.8281,83.4511,84.6464,1351636,TECH
JPM,2024-01-10T16:00:00Z,100.8244,101.367,100.5146,101.0565,1108899,FINANCIALS
GS,2024-01-10T16:00:00Z,115.8579,115.912,114.7253,114.7789,1273198,FINANCIALS
BAC,2024-01-10T16:00:00Z,133.9185,137.0271,133.8166,136.9228,1103352,FINANCIALS
XOM,2024-01-10T16:00:00Z,149.4663,149.9378,147.8985,148.3665,1264096,ENERGY
CVX,2024-01-10T16:00:00Z,161.1178,161.7714,159.4124,160.0617,1251231,ENERGY
KO,2024-01-10T16:00:00Z,181.0994,183.4459,180.234,182.5735,1493787,STAPLES
PG,2024-01-10T16:00:00Z,211.2674,213.9748,210.8638,213.5668,922527,STAPLES
AAPL,2024-01-11T16:00:00Z,48.7292,48.8017,48.1865,48.2583,1011572,TECH
MSFT,2024-01-11T16:00:00Z,67.6201,68.0033,67.5337,67.9165,836167,TECH
NVDA,2024-01-11T16:00:00Z,84.6579,85.0848,84.4574,84.8837,856458,TECH
JPM,2024-01-11T16:00:00Z,101.0594,104.1108,100.7096,103.7517,1129208,FINANCIALS
GS,2024-01-11T16:00:00Z,114.5505,115.5451,114.2329,115.2256,1271137,FINANCIALS
BAC,2024-01-11T16:00:00Z,136.9307,137.072,136.1933,136.334,802749,FINANCIALS
XOM,2024-01-11T16:00:00Z,148.5921,150.1891,148.3555,149.9503,1591982,ENERGY
CVX,2024-01-11T16:00:00Z,160.1596,160.5019,155.5946,155.9279,904267,ENERGY
KO,2024-01-11T16:00:00Z,183.2452,183.9161,180.2527,180.915,857545,STAPLES
PG,2024-01-11T16:00:00Z,213.3466,217.8958,213.2498,217.797,999204,STAPLES
AAPL,2024-01-12T16:00:00Z,48.2443,48.2651,47.9539,47.9745,815620,TECH
MSFT,2024-01-12T16:00:00Z,67.9828,68.2024,67.8637,68.0831,935303,TECH
NVDA,2024-01-12T16:00:00Z,84.8544,85.3924,84.6597,85.1969,1473043,TECH
JPM,2024-01-12T16:00:00Z,103.684,104.9458,103.212,104.4702,1579942,FINANCIALS
GS,2024-01-12T16:00:00Z,115.1074,115.5591,114.9462,115.3975,1420128,FINANCIALS
BAC,2024-01-12T16:00:00Z,136.2288,136.6875,136.1904,136.649,1536150,FINANCIALS
XOM,2024-01-12T16:00:00Z,150.1472,150.5204,149.9979,150.3709,1531934,ENERGY
CVX,2024-01-12T16:00:00Z,155.7537,156.6634,155.0878,155.9965,963993,ENERGY
KO,2024-01-12T16:00:00Z,180.6124,184.2315,179.3025,182.905,1457273,STAPLES
PG,2024-01-12T16:00:00Z,218.4161,222.0164,218.3288,221.9277,1068233,STAPLES
AAPL,2024-01-15T16:00:00Z,47.8929,48.0858,47.1138,47.3044,720773,TECH
MSFT,2024-01-15T16:00:00Z,68.0102,69.4374,67.748,69.1707,1015265,TECH
NVDA,2024-01-15T16:00:00Z,85.2411,85.4605,84.7115,84.9301,1536843,TECH
JPM,2024-01-15T16:00:00Z,104.3194,106.9942,104.0374,106.7057,1578735,FINANCIALS
GS,2024-01-15T16:00:00Z,115.3596,116.6907,114.7438,116.0712,1050181,FINANCIALS
BAC,2024-01-15T16:00:00Z,136.7963,138.6185,136.6031,138.423,800405,FINANCIALS
XOM,2024-01-15T16:00:00Z,150.5641,151.4849,149.7127,150.6331,1096802,ENERGY
CVX,2024-01-15T16:00:00Z,155.9243,158.9321,155.4076,158.4071,1188999,ENERGY
KO,2024-01-15T16:00:00Z,183.2821,185.5047,182.7296,184.9471,1263663,STAPLES
PG,2024-01-15T16:00:00Z,221.9024,223.2578,219.8295,221.1805,722642,STAPLES
AAPL,2024-01-16T16:00:00Z,47.3168,47.8687,47.228,47.779,1139033,TECH
MSFT,2024-01-16T16:00:00Z,69.3239,70.5422,69.2532,70.4704,924894,TECH
NVDA,2024-01-16T16:00:00Z,85.0175,85.5895,84.8945,85.4659,891145,TECH
JPM,2024-01-16T16:00:00Z,106.6909,106.8683,104.5792,104.7534,1496307,FINANCIALS
GS,2024-01-16T16:00:00Z,116.039,117.5915,115.7378,117.2871,998637,FINANCIALS
BAC,2024-01-16T16:00:00Z,138.2389,138.368,137.2026,137.3309,1003173,FINANCIALS
XOM,2024-01-16T16:00:00Z,150.7406,152.9403,150.5809,152.7785,1203723,ENERGY
CVX,2024-01-16T16:00:00Z,158.3709,167.5628,157.8926,167.0582,1488648,ENERGY
KO,2024-01-16T16:00:00Z,185.1111,185.1292,184.6206,184.6387,1001942,STAPLES
PG,2024-01-16T16:00:00Z,220.9613,223.8337,220.6969,223.5662,1528517,STAPLES
AAPL,2024-01-17T16:00:00Z,47.732,47.7724,47.3842,47.4243,1563604,TECH
MSFT,2024-01-17T16:00:00Z,70.5557,70.7028,69.4651,69.6103,813815,TECH
NVDA,2024-01-17T16:00:00Z,85.4526,85.5772,84.8601,84.984,1138861,TECH
JPM,2024-01-17T16:00:00Z,104.7767,105.07,103.6722,103.9632,1519989,FINANCIALS
GS,2024-01-17T16:00:00Z,117.0938,117.9986,117.0019,117.9061,1183607,FINANCIALS
BAC,2024-01-17T16:00:00Z,137.422,137.5522,136.5434,136.6729,1502845,FINANCIALS
XOM,2024-01-17T16:00:00Z,152.8181,152.9973,149.231,149.4061,1220421,ENERGY
CVX,2024-01-17T16:00:00Z,167.0964,167.2353,165.775,165.9128,1416975,ENERGY
KO,2024-01-17T16:00:00Z,184.7525,185.1297,183.4696,183.845,1169539,STAPLES
PG,2024-01-17T16:00:00Z,223.4816,223.57,219.8461,219.9331,838159,STAPLES
AAPL,2024-01-18T16:00:00Z,47.4239,47.6149,47.3339,47.5247,1183603,TECH
MSFT,2024-01-18T16:00:00Z,69.491,70.0861,69.3249,69.9189,1023080,TECH
NVDA,2024-01-18T16:00:00Z,84.9301,85.2899,83.6168,83.9726,707322,TECH
JPM,2024-01-18T16:00:00Z,103.8144,104.0629,103.4759,103.7242,1238610,FINANCIALS
GS,2024-01-18T16:00:00Z,117.7648,120.2531,117.5566,120.0409,1094029,FINANCIALS
BAC,2024-01-18T16:00:00Z,136.9729,137.7193,136.8119,137.5577,1154969,FINANCIALS
XOM,2024-01-18T16:00:00Z,149.3437,151.8059,149.0683,151.5265,1371357,ENERGY
CVX,2024-01-18T16:00:00Z,166.0696,166.3969,166.036,166.3632,1013315,ENERGY
KO,2024-01-18T16:00:00Z,183.0715,183.1763,182.3359,182.4404,707787,STAPLES
PG,2024-01-18T16:00:00Z,220.1637,221.8913,218.905,220.6299,1395744,STAPLES
AAPL,2024-01-19T16:00:00Z,47.4918,47.6821,46.501,46.6881,965540,TECH
MSFT,2024-01-19T16:00:00Z,69.9425,71.1271,69.743,70.9248,975099,TECH
NVDA,2024-01-19T16:00:00Z,83.9443,84.2094,83.4691,83.7336,1250941,TECH
JPM,2024-01-19T16:00:00Z,103.621,103.9058,102.6965,102.9795,1373948,FINANCIALS
GS,2024-01-19T16:00:00Z,119.8587,120.3156,119.2032,119.6594,1064180,FINANCIALS
BAC,2024-01-19T16:00:00Z,137.307,139.2508,136.598,138.5354,828346,FINANCIALS
XOM,2024-01-19T16:00:00Z,151.6395,152.4426,151.2301,152.0322,1362989,ENERGY
CVX,2024-01-19T16:00:00Z,166.2471,167.2643,166.1291,167.1456,1044172,ENERGY
KO,2024-01-19T16:00:00Z,182.4726,184.1375,181.8723,183.5337,1095811,STAPLES
PG,2024-01-19T16:00:00Z,220.9803,221.7903,219.3163,220.1232,706705,STAPLES
AAPL,2024-01-22T16:00:00Z,46.6515,47.2637,46.5298,47.1406,740743,TECH
MSFT,2024-01-22T16:00:00Z,70.9035,71.0774,70.0681,70.2404,1099393,TECH
NVDA,2024-01-22T16:00:00Z,83.6912,84.6543,83.5235,84.485,791753,TECH
JPM,2024-01-22T16:00:00Z,102.9813,102.9954,102.733,102.7472,1460222,FINANCIALS
GS,2024-01-22T16:00:00Z,119.5796,119.944,119.4613,119.8255,843667,FINANCIALS
BAC,2024-01-22T16:00:00Z,138.4275,138.6991,138.1862,138.4577,1091604,FINANCIALS
XOM,2024-01-22T16:00:00Z,152.1101,154.5799,151.4518,153.9138,915424,ENERGY
CVX,2024-01-22T16:00:00Z,167.1836,168.0293,167.0458,167.8909,1082572,ENERGY
KO,2024-01-22T16:00:00Z,183.3794,183.6983,181.4966,181.8127,1268701,STAPLES
PG,2024-01-22T16:00:00Z,220.1732,221.2984,219.1564,220.2812,989803,STAPLES
AAPL,2024-01-23T16:00:00Z,47.1266,47.2417,47.0878,47.2029,1538381,TECH
MSFT,2024-01-23T16:00:00Z,70.1294,71.0963,70.0987,71.0652,1135407,TECH
NVDA,2024-01-23T16:00:00Z,84.6631,84.9018,84.0077,84.2452,937655,TECH
JPM,2024-01-23T16:00:00Z,102.6948,103.9278,102.5569,103.7884,1536794,FINANCIALS
GS,2024-01-23T16:00:00Z,119.6759,120.6932,119.1785,120.1936,1000144,FINANCIALS
BAC,2024-01-23T16:00:00Z,138.7913,141.0618,138.4933,140.7596,1353858,FINANCIALS
XOM,2024-01-23T16:00:00Z,153.7455,155.1397,153.4291,154.8211,1101081,ENERGY
CVX,2024-01-23T16:00:00Z,167.7012,171.1025,167.1993,170.5921,1191376,ENERGY
KO,2024-01-23T16:00:00Z,181.8929,182.5039,178.4968,179.0984,1423096,STAPLES
PG,2024-01-23T16:00:00Z,220.4895,221.6553,218.095,219.2542,1478195,STAPLES
AAPL,2024-01-24T16:00:00Z,47.1629,47.3142,47.1406,47.2918,1042599,TECH
MSFT,2024-01-24T16:00:00Z,71.0162,71.4793,69.8518,70.3104,749530,TECH
NVDA,2024-01-24T16:00:00Z,84.2827,84.4501,82.5554,82.7197,1052241,TECH
JPM,2024-01-24T16:00:00Z,103.9002,104.1719,103.1396,103.41,1473275,FINANCIALS
GS,2024-01-24T16:00:00Z,119.9257,119.9502,117.897,117.9212,1522420,FINANCIALS
BAC,2024-01-24T16:00:00Z,140.9709,141.4231,138.6949,139.1412,927793,FINANCIALS
XOM,2024-01-24T16:00:00Z,154.9657,155.0929,154.6695,154.7966,1582933,ENERGY
CVX,2024-01-24T16:00:00Z,170.7672,171.7484,167.2068,168.173,1069688,ENERGY
KO,2024-01-24T16:00:00Z,179.256,179.9066,177.699,178.3463,1460481,STAPLES
PG,2024-01-24T16:00:00Z,219.1629,219.7324,217.9314,218.4991,1521655,STAPLES
AAPL,2024-01-25T16:00:00Z,47.2891,47.344,46.7192,46.7734,735670,TECH
MSFT,2024-01-25T16:00:00Z,70.4221,70.792,67.9703,68.3293,1265772,TECH
NVDA,2024-01-25T16:00:00Z,82.5808,83.747,82.335,83.4984,1104942,TECH
JPM,2024-01-25T16:00:00Z,103.3386,104.5452,102.7968,104.0,1459660,FINANCIALS
GS,2024-01-25T16:00:00Z,117.9761,118.202,117.0849,117.3096,738566,FINANCIALS
BAC,2024-01-25T16:00:00Z,139.2336,140.6921,138.9894,140.4458,1355255,FINANCIALS
XOM,2024-01-25T16:00:00Z,154.9676,155.5546,153.1227,153.705,700892,ENERGY
CVX,2024-01-25T16:00:00Z,168.4791,169.0402,166.893,167.4507,1407910,ENERGY
KO,2024-01-25T16:00:00Z,178.374,178.6723,177.3522,177.6493,851092,STAPLES
PG,2024-01-25T16:00:00Z,218.3218,220.7955,217.6027,220.0707,1526528,STAPLES
AAPL,2024-01-26T16:00:00Z,46.7386,46.77,46.3662,46.3974,1026777,TECH
MSFT,2024-01-26T16:00:00Z,68.3689,68.5742,67.1295,67.3317,761289,TECH
NVDA,2024-01-26T16:00:00Z,83.5932,83.8454,82.3278,82.5769,1106061,TECH
JPM,2024-01-26T16:00:00Z,104.1268,104.5724,103.1781,103.6215,1283517,FINANCIALS
GS,2024-01-26T16:00:00Z,117.3529,117.4846,114.8372,114.9662,1556664,FINANCIALS
BAC,2024-01-26T16:00:00Z,140.4697,140.7964,137.8085,138.1298,1246527,FINANCIALS
XOM,2024-01-26T16:00:00Z,153.3801,155.1707,152.3415,154.127,1128260,ENERGY
CVX,2024-01-26T16:00:00Z,167.2864,167.3062,166.9057,166.9254,1340461,ENERGY
KO,2024-01-26T16:00:00Z,177.7693,178.7301,175.1653,176.1172,1372385,STAPLES
PG,2024-01-26T16:00:00Z,220.2355,220.4638,219.6289,219.8569,927725,STAPLES
AAPL,2024-01-29T16:00:00Z,46.4091,46.459,46.1444,46.194,1360484,TECH
MSFT,2024-01-29T16:00:00Z,67.2962,67.6611,66.4075,66.7695,1418151,TECH
NVDA,2024-01-29T16:00:00Z,82.545,82.5489,81.8347,81.8386,948953,TECH
JPM,2024-01-29T16:00:00Z,103.7073,103.8436,102.1567,102.2912,872846,FINANCIALS
GS,2024-01-29T16:00:00Z,114.8794,115.1612,114.6002,114.882,750758,FINANCIALS
BAC,2024-01-29T16:00:00Z,138.0067,138.3014,137.2349,137.5285,979410,FINANCIALS
XOM,2024-01-29T16:00:00Z,153.989,154.6963,151.0232,151.72,820434,ENERGY
CVX,2024-01-29T16:00:00Z,166.9594,167.2902,166.0081,166.3377,1234416,ENERGY
KO,2024-01-29T16:00:00Z,176.0801,176.1634,174.4817,174.5643,1159642,STAPLES
PG,2024-01-29T16:00:00Z,219.9953,220.887,217.9837,218.8709,789277,STAPLES
AAPL,2024-01-30T16:00:00Z,46.2665,46.4825,45.8984,46.1138,1513547,TECH
MSFT,2024-01-30T16:00:00Z,66.862,67.0836,66.0162,66.2357,1447556,TECH
NVDA,2024-01-30T16:00:00Z,81.6958,81.9094,79.7175,79.9264,854689,TECH
JPM,2024-01-30T16:00:00Z,102.266,102.7322,102.2319,102.698,1259067,FINANCIALS
GS,2024-01-30T16:00:00Z,114.8806,115.465,114.7508,115.3346,998985,FINANCIALS
BAC,2024-01-30T16:00:00Z,137.7174,138.5713,137.0832,137.936,841848,FINANCIALS
XOM,2024-01-30T16:00:00Z,151.1495,155.9177,150.8823,155.6426,1566372,ENERGY
CVX,2024-01-30T16:00:00Z,166.1826,170.8427,165.3939,170.0357,1094057,ENERGY
KO,2024-01-30T16:00:00Z,174.5565,175.9948,174.5252,175.9633,1048018,STAPLES
PG,2024-01-30T16:00:00Z,218.5781,221.6589,217.8592,220.9323,1454152,STAPLES
AAPL,2024-01-31T16:00:00Z,46.1272,46.4408,45.713,46.026,1203243,TECH
MSFT,2024-01-31T16:00:00Z,66.1151,66.8358,65.1731,65.8913,1098161,TECH
NVDA,2024-01-31T16:00:00Z,79.9167,80.0194,78.7291,78.8304,867992,TECH
JPM,2024-01-31T16:00:00Z,102.7587,105.6018,102.4673,105.3031,989630,FINANCIALS
GS,2024-01-31T16:00:00Z,115.3499,115.5792,115.1669,115.3961,883333,FINANCIALS
BAC,2024-01-31T16:00:00Z,138.0702,139.1959,138.0556,139.1811,1097233,FINANCIALS
XOM,2024-01-31T16:00:00Z,155.8009,158.3635,155.5276,158.0862,1064793,ENERGY
CVX,2024-01-31T16:00:00Z,170.2022,170.9523,169.4144,170.1643,992240,ENERGY
KO,2024-01-31T16:00:00Z,176.1279,176.5317,173.5384,173.9372,1538209,STAPLES
PG,2024-01-31T16:00:00Z,220.5862,223.1337,219.4665,222.0068,1365411,STAPLES
AAPL,2024-02-01T16:00:00Z,45.9999,46.1313,44.6467,44.7746,863957,TECH
MSFT,2024-02-01T16:00:00Z,65.9056,65.9489,64.0709,64.1129,1166612,TECH
NVDA,2024-02-01T16:00:00Z,78.8865,79.8202,77.4506,78.3783,1131816,TECH
JPM,2024-02-01T16:00:00Z,105.0958,105.9054,104.9472,105.7559,1513476,FINANCIALS
GS,2024-02-01T16:00:00Z,115.2285,115.9513,113.1197,113.8338,1155787,FINANCIALS
BAC,2024-02-01T16:00:00Z,139.1601,139.7846,136.7263,137.3426,1199380,FINANCIALS
XOM,2024-02-01T16:00:00Z,158.3346,158.53,157.3506,157.5451,804459,ENERGY
CVX,2024-02-01T16:00:00Z,170.5551,170.9797,166.7981,167.2144,1462422,ENERGY
KO,2024-02-01T16:00:00Z,173.5855,173.8709,172.5514,172.8355,1041980,STAPLES
PG,2024-02-01T16:00:00Z,221.9939,222.2171,218.4528,218.6726,916801,STAPLES
AAPL,2024-02-02T16:00:00Z,44.773,44.786,44.4258,44.4387,1080988,TECH
MSFT,2024-02-02T16:00:00Z,64.2832,65.7919,63.8398,65.3412,825495,TECH
NVDA,2024-02-02T16:00:00Z,78.5263,78.7677,77.9147,78.155,1311833,TECH
JPM,2024-02-02T16:00:00Z,105.7906,107.0838,105.7713,107.0643,1178744,FINANCIALS
GS,2024-02-02T16:00:00Z,113.8715,115.0858,113.2463,114.4573,1003286,FINANCIALS
BAC,2024-02-02T16:00:00Z,137.5257,140.2373,137.3666,140.0754,992738,FINANCIALS
XOM,2024-02-02T16:00:00Z,157.7903,160.6972,157.4518,160.3532,1388042,ENERGY
CVX,2024-02-02T16:00:00Z,166.9286,167.3128,166.649,167.0331,1557392,ENERGY
KO,2024-02-02T16:00:00Z,172.7702,172.8668,171.7491,171.8451,1045884,STAPLES
PG,2024-02-02T16:00:00Z,218.4116,218.5032,217.6737,217.765,1335604,STAPLES
AAPL,2024-02-05T16:00:00Z,44.4588,44.5641,44.0798,44.1844,1181694,TECH
MSFT,2024-02-05T16:00:00Z,65.4291,65.5292,63.575,63.6724,1585858,TECH
NVDA,2024-02-05T16:00:00Z,78.0351,78.2137,76.0295,76.2039,1122915,TECH
JPM,2024-02-05T16:00:00Z,107.115,107.5277,104.0048,104.4071,925326,FINANCIALS
GS,2024-02-05T16:00:00Z,114.4695,114.488,113.6205,113.6388,1035972,FINANCIALS
BAC,2024-02-05T16:00:00Z,140.062,140.0831,136.8483,136.8688,964485,FINANCIALS
XOM,2024-02-05T16:00:00Z,160.1852,160.3215,159.106,159.2416,987264,ENERGY
CVX,2024-02-05T16:00:00Z,166.668,167.4842,165.1328,165.9455,864234,ENERGY
KO,2024-02-05T16:00:00Z,172.0306,173.2532,171.503,172.7234,1597934,STAPLES
PG,2024-02-05T16:00:00Z,217.7876,222.0701,216.326,220.5896,799499,STAPLES
AAPL,2024-02-06T16:00:00Z,44.237,44.2758,42.943,42.9807,1258379,TECH
MSFT,2024-02-06T16:00:00Z,63.6684,63.7897,63.309,63.4298,1362393,TECH
NVDA,2024-02-06T16:00:00Z,76.0813,76.1541,74.5747,74.6461,841743,TECH
JPM,2024-02-06T16:00:00Z,104.3684,104.4374,102.3172,102.3848,1237149,FINANCIALS
GS,2024-02-06T16:00:00Z,113.6239,113.9441,111.8409,112.157,804280,FINANCIALS
BAC,2024-02-06T16:00:00Z,136.9621,137.2215,136.4647,136.7237,1254891,FINANCIALS
XOM,2024-02-06T16:00:00Z,158.9584,159.1183,157.6268,157.7856,938515,ENERGY
CVX,2024-02-06T16:00:00Z,166.049,166.2412,161.1957,161.3825,890629,ENERGY
KO,2024-02-06T16:00:00Z,172.6575,172.8711,172.3809,172.5944,955285,STAPLES
PG,2024-02-06T16:00:00Z,220.5205,220.5502,219.9374,219.9671,906536,STAPLES
AAPL,2024-02-07T16:00:00Z,42.9004,43.469,42.746,43.3131,1358874,TECH
MSFT,2024-02-07T16:00:00Z,63.3376,63.9405,63.2437,63.8458,1169589,TECH
NVDA,2024-02-07T16:00:00Z,74.6339,75.0267,73.2514,73.6389,769286,TECH
JPM,2024-02-07T16:00:00Z,102.4089,102.4896,102.3443,102.4249,1316058,FINANCIALS
GS,2024-02-07T16:00:00Z,112.4004,113.3786,111.8013,112.7775,1017293,FINANCIALS
BAC,2024-02-07T16:00:00Z,136.7333,137.8954,136.5208,137.6815,1403499,FINANCIALS
XOM,2024-02-07T16:00:00Z,157.8685,159.7331,157.6495,159.5118,1383557,ENERGY
CVX,2024-02-07T16:00:00Z,161.4529,166.7985,161.0216,166.3541,1595971,ENERGY
KO,2024-02-07T16:00:00Z,172.7147,172.854,172.6138,172.7531,992392,STAPLES
PG,2024-02-07T16:00:00Z,220.3679,220.4853,218.5081,218.6246,754438,STAPLES
AAPL,2024-02-08T16:00:00Z,43.287,43.3441,42.325,42.3809,1314295,TECH
MSFT,2024-02-08T16:00:00Z,63.9043,63.9427,62.8236,62.8614,1059797,TECH
NVDA,2024-02-08T16:00:00Z,73.5837,74.3168,73.313,74.0444,879010,TECH
JPM,2024-02-08T16:00:00Z,102.309,102.5132,102.1449,102.349,980280,FINANCIALS
GS,2024-02-08T16:00:00Z,112.6114,112.9738,111.5462,111.9063,1394407,FINANCIALS
BAC,2024-02-08T16:00:00Z,137.719,138.8477,137.2417,138.3681,1188689,FINANCIALS
XOM,2024-02-08T16:00:00Z,159.5395,159.5736,155.664,155.6973,1410598,ENERGY
CVX,2024-02-08T16:00:00Z,166.5869,167.173,165.9364,166.5224,1585706,ENERGY
KO,2024-02-08T16:00:00Z,172.8044,173.9424,169.4234,170.5464,967548,STAPLES
PG,2024-02-08T16:00:00Z,218.3309,221.6874,218.2077,221.5624,1192006,STAPLES
AAPL,2024-02-09T16:00:00Z,42.386,42.836,42.2637,42.7127,810045,TECH
MSFT,2024-02-09T16:00:00Z,62.7687,64.3221,62.5567,64.1056,1215921,TECH
NVDA,2024-02-09T16:00:00Z,74.1381,74.2669,73.9811,74.1099,888131,TECH
JPM,2024-02-09T16:00:00Z,102.3798,102.7322,101.2827,101.6326,1516555,FINANCIALS
GS,2024-02-09T16:00:00Z,111.9408,112.8533,108.9465,109.842,936367,FINANCIALS
BAC,2024-02-09T16:00:00Z,138.2563,138.8916,137.9158,138.5503,798166,FINANCIALS
XOM,2024-02-09T16:00:00Z,155.7647,159.0504,155.2279,158.5041,1292935,ENERGY
CVX,2024-02-09T16:00:00Z,166.5102,168.8309,165.0799,167.393,990245,ENERGY
KO,2024-02-09T16:00:00Z,170.6008,171.2965,170.471,171.1663,746009,STAPLES
