dataset_id,symbol,timestamp,open,high,low,close,volume
DATASET-001,MSFT,2025-01-24T16:00:00Z,362.20,363.50,361.50,362.00,587000
DATASET-001,MSFT,2025-01-27T16:00:00Z,361.80,362.50,360.00,360.50,645000
DATASET-001,MSFT,2025-01-28T16:00:00Z,360.20,361.00,358.50,359.20,756000
DATASET-001,MSFT,2025-01-29T16:00:00Z,359.00,360.50,358.00,360.00,598000
DATASET-001,MSFT,2025-01-30T16:00:00Z,360.20,362.00,359.50,361.50,689000
DATASET-001,MSFT,2025-01-31T16:00:00Z,361.50,363.00,360.80,362.80,704000
DATASET-001,MSFT,2025-02-03T16:00:00Z,363.00,364.50,362.00,363.60,805000
DATASET-001,MSFT,2025-02-04T16:00:00Z,363.50,365.00,362.50,364.40,754000
DATASET-001,MSFT,2025-02-05T16:00:00Z,364.00,366.00,363.50,365.50,902000
DATASET-001,MSFT,2025-02-06T16:00:00Z,365.20,366.50,364.00,364.80,850000
DATASET-001,MSFT,2025-02-07T16:00:00Z,364.50,365.80,363.50,365.20,580000
DATASET-001,MSFT,2025-02-10T16:00:00Z,365.00,367.00,364.50,366.50,705000
DATASET-001,MSFT,2025-02-11T16:00:00Z,366.50,368.50,366.00,367.80,840000
DATASET-001,MSFT,2025-02-12T16:00:00Z,367.50,369.00,366.50,368.50,756000
DATASET-001,MSFT,2025-02-13T16:00:00Z,368.00,369.50,367.00,367.20,702000
DATASET-001,SPY,2025-01-02T16:00:00Z,450.00,452.00,449.50,451.20,2812345
DATASET-001,SPY,2025-01-03T16:00:00Z,451.20,453.50,450.80,452.40,3045532
DATASET-001,SPY,2025-01-06T16:00:00Z,452.00,452.50,450.00,451.90,2963244
DATASET-001,SPY,2025-01-07T16:00:00Z,451.80,454.00,451.50,453.10,3452100
DATASET-001,SPY,2025-01-08T16:00:00Z,453.50,454.20,452.00,452.60,2783550
DATASET-001,SPY,2025-01-09T16:00:00Z,452.50,454.50,452.00,454.00,2891200
DATASET-001,SPY,2025-01-10T16:00:00Z,454.20,455.00,453.50,454.80,3102340
DATASET-001,SPY,2025-01-13T16:00:00Z,454.50,456.20,454.00,455.90,3205600
DATASET-001,SPY,2025-01-14T16:00:00Z,456.00,456.50,454.20,454.60,2954300
DATASET-001,SPY,2025-01-15T16:00:00Z,454.00,455.20,453.00,453.80,2856700
DATASET-001,SPY,2025-01-16T16:00:00Z,453.50,454.80,452.50,454.20,2902100
DATASET-001,SPY,2025-01-17T16:00:00Z,454.00,455.50,453.80,455.10,3056400
DATASET-001,SPY,2025-01-21T16:00:00Z,455.00,457.00,454.50,456.30,3123400
DATASET-001,SPY,2025-01-22T16:00:00Z,456.50,458.00,455.50,457.80,3345000
DATASET-001,SPY,2025-01-23T16:00:00Z,458.00,459.20,457.00,458.50,3256000
DATASET-001,SPY,2025-01-24T16:00:00Z,458.20,459.50,457.50,458.00,2987000
DATASET-001,SPY,2025-01-27T16:00:00Z,457.80,458.50,456.00,456.50,3045000
DATASET-001,SPY,2025-01-28T16:00:00Z,456.20,457.00,454.50,455.20,3156000
DATASET-001,SPY,2025-01-29T16:00:00Z,455.00,456.50,454.00,456.00,2998000
DATASET-001,SPY,2025-01-30T16:00:00Z,456.20,458.00,455.50,457.50,3089000
DATASET-001,SPY,2025-01-31T16:00:00Z,457.50,459.00,456.80,458.80,3204000
DATASET-001,SPY,2025-02-03T16:00:00Z,459.00,460.50,458.00,459.60,3305000
DATASET-001,SPY,2025-02-04T16:00:00Z,459.50,461.00,458.50,460.40,3154000
DATASET-001,SPY,2025-02-05T16:00:00Z,460.00,462.00,459.50,461.50,3402000
DATASET-001,SPY,2025-02-06T16:00:00Z,461.20,462.50,460.00,460.80,3250000
DATASET-001,SPY,2025-02-07T16:00:00Z,460.50,461.80,459.50,461.20,2980000
DATASET-001,SPY,2025-02-10T16:00:00Z,461.00,463.00,460.50,462.50,3105000
DATASET-001,SPY,2025-02-11T16:00:00Z,462.50,464.50,462.00,463.80,3340000
DATASET-001,SPY,2025-02-12T16:00:00Z,463.50,465.00,462.50,464.50,3256000
DATASET-001,SPY,2025-02-13T16:00:00Z,464.00,465.50,463.00,463.20,3102000
